Category	English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Nepali	Japanese	Korean	Turkish	Yoruba	Basque	Swahili	Chinese	
Computer and mathematical occupations	Web developer	pemaju web	veebiarendaja	web-kehittäjä	webfejlesztő	վեբ ծրագրավորողը	ওয়েব ডেভেলপার	वेब विकासकर्ता	ウェブ開発者	웹 개발자	web geliştirici	olùgbéejáde wẹẹbù	web developer	msanidi wa wavuti	web开发人员	
Personal care and service occupations	Animal caretaker	penjaga haiwan	loomade hooldaja	eläinten talonmies	állat gondozó	կենդանիների պահապան	পশু তত্ত্বাবধায়ক	पशु वाहक	動物介護者	동물 관리인	hayvan bekçisi	alabojuto eranko	?	mlezi wa mnyama	?	
Personal care and service occupations	Animal trainer	jurulatih haiwan	loomade treener	eläinten kouluttaja	állatorvos	կենդանիների վերապատրաստող	পশু প্রশিক্ষক	पशु प्रशिक्षक	動物トレーナー	동물 트레이너	hayvan eğitmeni	eranko olukọni	?	mkufunzi wa mnyama	驯兽师	
Personal care and service occupations	Baggage porter	porter bagasi	pagasi porter	matkatavaraaja	poggyász portás	?	লাগেজ কোর্ট	सामान पाल्टर	荷物ポーター	짐 포터	bagaj kapıcısı	ẹru ẹru	ekipaje-atezaina	mzigo wa mizigo	行李搬运工	
Personal care and service occupations	Barber	tukang gunting rambut	juuksur	parturi	borbély	սանրիկ	নাপিত	बार्बर	理容師	이발사	berber	akọle	bizargin	shaba	理发师	
Personal care and service occupations	Bellhop	tuan rumah	kellapood	hotellipoika	londiner	բելհոպ	ছোকরা-চাকর	bellhop	ベルボック	보이	belboy	bellhop	bellhop	bellhop	侍者	
Personal care and service occupations	Childcare worker	pekerja penjagaan kanak-kanak	?	lastenhoitotyöntekijä	gyermekgondozó	մանկապարտեզի աշխատող	সন্তানের যত্ন কর্মী	बाल हेरचाह कार्यकर्ता	保育労働者	보육사	dadı	ile-iṣẹ ọmọde	haurtzaindegia	mfanyakazi wa huduma ya watoto	儿童护理员	
Personal care and service occupations	Concierge	penjaga pintu	concierge	portinvartija	portás	կոնսերժ	প্রহরী	दरबार	コンシェルジュ	관리인	kapıcı	concierge	atezainaren	concierge	门房	
Personal care and service occupations	Cosmetologist	pakar kosmetik	kosmeetik	kosmetologi	kozmetikus	կոսմետոլոգ	অঙ্গরাগী	cosmetologist	美容師	미용사	kozmetikçi	cosmetologist	cosmetologist	?	美容家	
Personal care and service occupations	Embalmer	pembalsu	embalmör	embalmer	embalmer	սաղմոն	embalmer	हर्बलर	エンブレマー	방탕 한 사람	embalmer	paṣẹ	embalmer	mfanyakazi	embalmer	
Personal care and service occupations	Entertainment attendant	atendan hiburan	?	viihdeopettaja	szórakoztató személyzet	զվարճանքի սպասավոր	বিনোদন পরিচারক	मनोरञ्जन दर्शक	エンターテインメントアテンダント	엔터테인먼트 수행자	eğlence görevlisi	aṣoju igbanilaya	entretenimendu laguntzailea	mtumishi wa burudani	?	
Personal care and service occupations	First-line supervisor of gaming workers	penyelia pertama pekerja permainan	hasartmängutöötajate esimese astme juhendaja	?	a szerencsejátékosok első soros felügyelője	խաղային աշխատողների առաջին կարգի ղեկավարը	গেমিং কর্মীদের প্রথম লাইন সুপারভাইজার	गेमिङ कार्यकर्ताहरूको पहिलो-लाइन पर्यवेक्षक	ゲームワーカーのファーストライン監督	도박사의 일선 관리자	oyun çalışanlarının birinci hat sorumlusu	olutọju akọkọ ti awọn oniṣẹ ere	jolas-langileen lehen mailako arduraduna	msimamizi wa kwanza wa waandishi wa michezo	游戏工作者的一线主管	
Personal care and service occupations	First-line supervisor of personal service workers	penyelia lini pertama pekerja perkhidmatan peribadi	personaalset teenindustöötajate esmatasandi juhendaja	henkilökohtaisen palvelutyöntekijän ensimmäisen linjan ohjaaja	a személyi szolgálati dolgozók első soros felügyelője	անձնական ծառայության աշխատակիցների առաջին կարգի ղեկավարը	ব্যক্তিগত পরিষেবা কর্মীদের প্রথম লাইন সুপারভাইজার	व्यक्तिगत सेवा कर्मचारीहरूको पहिलो-लाइन पर्यवेक्षक	パーソナルサービスワーカーのファーストライン監督	개인 서비스 노동자의 일선 관리자	kişisel hizmet görevlilerinin birinci basamak sorumlusu	olutọju akọkọ ti awọn oniṣẹ iṣẹ ti ara ẹni	lehen mailako langileen zerbitzu pertsonalen arduraduna	msimamizi wa kwanza wa watumishi wa huduma binafsi	个人服务工作者的一线主管	
Personal care and service occupations	Fitness worker	pekerja kecergasan	tervisetöötaja	kuntotyöntekijä	fitness munkás	մարզական աշխատող	ফিটনেস কর্মী	फिटनेस कर्मचारी	フィットネスワーカー	피트니스 노동자	fitness çalışanı	olukọni iṣẹ-ṣiṣe	fitness-langilea	mfanyakazi wa fitness	健身工作者	
Personal care and service occupations	Funeral attendant	petugas pemakaman	matusebüroo	hautajaiset	temetkezési kísérő	թաղման ծառայող	অন্ত্যেষ্টিক্রিয়া পরিচারক	अंतिम संस्कार	葬儀場	장례식	cenaze görevlisi	olutọju isinku	hileta-zerbitzaria	mtumishi wa mazishi	葬礼服务员	
Personal care and service occupations	Funeral director	pengarah pengebumian	matuse direktor	hautajaisjohtaja	temetkezési igazgató	հուղարկավորության տնօրեն	অন্ত্যেষ্টিক্রিয়া পরিচালক	अंतिम संस्कार निर्देशक	葬儀監督	호상	cenaze yöneticisi	olutọju olutọju	hileta zuzendaria	mkurugenzi wa mazishi	?	
Personal care and service occupations	Gaming services worker	pekerja perkhidmatan permainan	hasartmänge teenindav töötaja	pelipalvelujen työntekijä	szerencsejáték-szolgáltatások munkás	խաղային ծառայությունների աշխատող	গেমিং পরিষেবা কর্মী	गेमिंग सेवा कार्यकर्ता	?	도박 서비스 노동자	oyun hizmetleri çalışanı	oniṣẹ iṣẹ ayọkẹlẹ	jolas-zerbitzuen langilea	huduma za michezo ya michezo ya kubahatisha	游戏服务工作者	
Personal care and service occupations	Hairdresser	pendandan rambut	juuksur	kampaaja	fodrász	վարսահարդար	নরসুন্দর	?	美容師	미용사	kuaför	akọle	ileapaindegia	mchungaji	理发师	
Personal care and service occupations	Hairstylist	penggaya rambut	juuksestilist	hiusmuotoilija	fodrász	վարսահարդար	কেশবিন্যাসকারী	केश स्रिंगारक	ヘアスタイリスト	미용사	saç stilisti	irisi aṣa	ile apaintzailea	mtengeneza nywele	发型师	
Personal care and service occupations	Lobby attendant	petugas lobi	lobby saatja	aulassa	lobbizó	լոբբիստի սպասավոր	লবি সহকারী	lobby attendant	ロビーアテンダント	로비 승무원	lobi görevlisi	alabojuto ile-iduro	lobby attendant	mtumishi wa kushawishi	大堂服务员	
Personal care and service occupations	Mortician	pemukul	mortician	hautausurakoitsija	temetkezési vállalkozó	հեծանվորդ	সৎকার ব্যবসায়ী	हजुरआमा	葬儀屋	장의사	cenaze kaldırıcısı	miiwu	mortician	mkosaji	殡仪业者	
Personal care and service occupations	Motion picture projectionist	projektor gambar gerakan	filmiprojektsionist	elokuvaprojekti	filmvetítő	կինոֆիլմերի պրոեկցիոնիստ	মোশন পিকচার অভিক্ষেপশ	गति चित्र प्रक्षेपणवादी	動画投影家	영화 영사	hareket resmi projeksiyonisti	aworan iworan aworan	mugimenduaren proiekzioaren	?	电影放映师	
Personal care and service occupations	Personal appearance worker	pekerja penampilan peribadi	isikliku välimuse töötaja	?	személyi megjelenésű munkavállaló	անձնական տեսքի աշխատող	ব্যক্তিগত চেহারা কর্মী	व्यक्तिगत उपस्थिति कर्मचारी	?	외모	kişisel görünüş çalışanı	oṣiṣẹ alaworan ara ẹni	itxura pertsonala langilea	mfanyakazi wa kuonekana binafsi	个人外观工作者	
Personal care and service occupations	Personal care aide	pembantu penjagaan diri	isikliku hoolduse abiline	henkilökohtaisen hoidon apuväline	személyi gondozó	անձնական խնամքի օժանդակություն	ব্যক্তিগত যত্ন সহকারী	व्यक्तिगत हेरविचार सहयोगी	パーソナルケア助手	개인 간병 보좌관	kişisel bakım yardımcısı	iranlọwọ abojuto ara ẹni	arreta pertsonala	huduma ya kibinafsi	个人护理助手	
Personal care and service occupations	Personal care worker	pekerja penjagaan diri	isikliku hooldamise töötaja	henkilökohtainen hoitotyöntekijä	személyi gondozó	անձնական խնամքի աշխատող	ব্যক্তিগত যত্ন কর্মী	व्यक्तिगत हेरचाह गर्ने कामदार	パーソナルケアワーカー	개인 간호 종사자	kişisel bakım işçisi	olutọju ara ẹni	?	mfanyakazi wa huduma binafsi	个人护理人员	
Personal care and service occupations	Personal service worker	pekerja perkhidmatan peribadi	isikutalitöötaja	henkilökohtainen palvelutyöntekijä	személyi szolgáltató	անձնական ծառայողի աշխատող	ব্যক্তিগত সেবা কর্মী	व्यक्तिगत सेवा कर्मचारी	個人サービスワーカー	개인 봉사자	kişisel hizmet görevlisi	olukese iṣẹ ti ara ẹni	zerbitzu pertsonala langilea	mfanyakazi wa huduma binafsi	个人服务工作者	
Personal care and service occupations	Personal trainer	jurulatih peribadi	isiklik treener	henkilökohtainen valmentaja	személyi edző	անձնական մարզիչ	ব্যক্তিগত প্রশিক্ষক	व्यक्तिगत प्रशिक्षक	?	개인 트레이너	kişisel antrenör	olukọni ti ara ẹni	entrenatzaile pertsonala	mkufunzi binafsi	?	
Personal care and service occupations	Recreation worker	pekerja rekreasi	puhkusereisija	virkistystyöntekijä	rekreációs munkás	հանգստյան աշխատող	বিনোদন কর্মী	मनोरञ्जन कार्यकर्ता	?	?	rekreasyon işçisi	aṣayan ere idaraya	?	mfanyakazi wa burudani	休闲工作者	
Personal care and service occupations	Residential advisor	penasihat kediaman	eluaseme nõustaja	asunnon neuvonantaja	lakossági tanácsadó	բնակելի խորհրդատու	আবাসিক উপদেষ্টা	आवासीय सल्लाहकार	住宅アドバイザー	주거 고문	konut danışmanı	olugbe ile-iṣẹ ibugbe	?	?	住宅顾问	
Personal care and service occupations	Ticket taker	pengambil tiket	piletipakkuja	lipunmyyjä	jegyiroda	տոմսի փոխարեն	টিকেট গ্রহণকারী	टिकट टेकर	チケット受取人	표를받는 사람	biletçi	tikita tikẹti	txartelaren hartzailea	taker tiketi	票务员	
Personal care and service occupations	Tour guide	pemandu pelancong	giid	matkaopas	idegenvezető	գիդ	ভ্রমণ প্রদর্শক	टूर गाइड	ツアーガイド	여행 가이드	tur rehberi	olu fihan irinajo	tour gida	mwongozo wa ziara	导游	
Personal care and service occupations	Travel guide	panduan perjalanan	reisijuht	matkaopas	útikalauz	ճանապարհորդական ուղեցույցը	ভ্রমণ সাহায্যকারী	?	旅行ガイド	여행 가이드	gezi rehberi	itọsọna irin ajo	bidaia-gida	mwongozo wa kusafiri	旅行指南	
Personal care and service occupations	Undertaker	?	ettevõtja	hautausurakoitsija	temetkezési vállalkozó	կազմակերպիչը	গঙ্গাপুত্র	?	アンダーテイカー	장의사	cenazeci	alakoso	undertaker	mfanyakazi	殡仪馆	
Personal care and service occupations	Usher	usher	usher	?	jegyszedő	երեխա	নকীব	उहा	案内人	수위	yer gösterici	usher	usher	?	招待员	
Construction and extraction occupations	Blaster	blaster	blaster	blaster	blaster	blaster	?	ब्लास्टर	ブラスタ	블래스터	blaster	blaster	blaster	blaster	冲击波	
Construction and extraction occupations	Blockmason	blockmason	plokkmasoon	blockmason	blockmason	բլոկմոնոն	blockmason	ब्लकमैसन	ブロックメイソン	블록 메이슨	blockmason	blockmason	blockmason	blockmason	blockmason	
Construction and extraction occupations	Boilermaker	boilermaker	keevkiht	boilermaker	boilermaker	boilermaker	?	बोइलार्मर	ボイルメーカー	보일러 메이커	boilermaker	boilermaker	boilermaker	boilermaker	锅炉制造	
Construction and extraction occupations	Brickmason	brickmason	brickmason	brickmason	brickmason	brickmason	?	brickmason	レンガ造り	브릭 메이슨	brickmason	brickmason	brickmason	brickmason	brickmason	
Construction and extraction occupations	Building inspector	pemeriksa bangunan	ehitusinspektor	rakennustarkastaja	épületfelügyelő	?	বিল্ডিং পরিদর্শক	भवन निरीक्षक	ビルドインスペクタ	건축 감찰관	yapı denetçisi	olutọju ile	eraikinaren ikuskatzailea	mkaguzi wa jengo	建筑检查员	
Construction and extraction occupations	Carpenter	?	puusepp	puuseppä	ács	ատաղձագործ	সূত্রধর	बढ़ईरहेछ	?	목수	marangoz	gbenagbena	arotz	mpangaji	木匠	
Construction and extraction occupations	Carpet finisher	permaidani permaidani	vaipkustuti	matto viimeistelijä	szőnyegfinomító	գորգագործը	কার্পেট ফিনিশার	कालीन समाप्त	カーペットフィニッシャー	카펫 피니셔	?	olufokidi finiti	?	kumaliza mkati	地毯装饰	
Construction and extraction occupations	Carpet installer	pemasang permaidani	vaipade paigaldaja	matto asentaja	szőnyeg telepítő	գորգերի տեղադրող	কার্পেট ইনস্টলার	गलैँचा स्थापनाकर्ता	?	카펫 설치	halı yükleyici	oluṣeto inset	alfonbra-instalatzailea	mtengenezaji wa kanda	地毯安装工	
Construction and extraction occupations	Ceiling tile installer	pemasang jubin siling	laeplaadi paigaldaja	kattoluukun asentaja	?	առաստաղի կղմինդր տեղադրող	ছাদ টালি ইনস্টলার	छत टाइल स्थापनाकर्ता	天井タイルインストーラ	천장 타일 설치자	tavan karosu yükleyici	tii itẹwe ti ile	sabaiko teila instalatzailea	msanii wa dari wa dari	天花板瓷砖安装程序	
Construction and extraction occupations	Cement mason	mason simen	tsemendimaja	sementtirakennus	cement mason	ցեմենտի mason	সিমেন্ট মেসন	सीमेंट मेसन	セメントメイソン	시멘트 메이슨	çimento mason	simenti simenti	zementu albaitaritza	mason saruji	水泥泥瓦匠	
Construction and extraction occupations	Concrete finisher	finisher konkrit	betooni viimistleja	betonivalmistaja	beton finisher	բետոնե եզրափակիչ	কংক্রিট ফিনিশার	कंक्रीट समाप्ति	コンクリートフィニッシャー	콘크리트 피니셔	beton sonlandırıcı	ti o dara julọ	hormigoizko finisher	finisher halisi	混凝土修整器	
Construction and extraction occupations	Construction equipment operator	pengendali peralatan pembinaan	?	rakennuslaitteiden haltija	építőipari berendezések üzemeltetője	շինարարական սարքավորումների օպերատոր	নির্মাণ সরঞ্জাম অপারেটর	निर्माण उपकरण परिचालक	建設機械オペレーター	건설 장비 운전자	inşaat ekipmanları operatörü	olupese iṣẹ ẹrọ itanna	eraikuntzako ekipamendu operadorea	vifaa vya ujenzi wa vifaa	施工设备操作员	
Construction and extraction occupations	Construction inspector	pemeriksa pembinaan	ehitusinspektor	rakennustarkastaja	építési felügyelő	շինարարական տեսուչ	নির্মাণ পরিদর্শক	निर्माण निरीक्षक	建設検査官	건축 감찰관	?	oluyẹwo ile-iṣẹ	eraikuntza-ikuskatzailea	mkaguzi wa ujenzi	施工检查员	
Construction and extraction occupations	Construction laborer	buruh binaan	ehitustööline	rakennusalan työntekijä	?	շինարարական աշխատող	নির্মাণ শ্রমিক	निर्माण श्रमिक	建設労働者	건설 노동자	inşaat işçisi	iṣẹ-ṣiṣe iṣẹ-ṣiṣe	eraikuntza langilea	mfanyakazi wa ujenzi	建筑工人	
Construction and extraction occupations	Construction trades helpers	pembantu perdagangan pembinaan	ehitustööde abistajad	rakentamisen avustajat	építési segédek	շինարարական գործարքների օգնականներ	নির্মাণ কারিগর সাহায্যকারী	निर्माण व्यापार सहयोगकर्ता	建設トレードヘルパー	건설업 도우미	inşaat esnaf yardımcıları	awin oluranlowo iṣowo	eraikuntza lanbideak laguntzaileak	?	建筑交易佣工	
Construction and extraction occupations	Construction worker	pekerja pembinaan	ehitustööline	rakennustyöläinen	építőipari munkás	?	নির্মাণ শ্রমিক	निर्माण कार्यकर्ता	建設労働者	건설 노동자	inşaat işçisi	oṣiṣẹ ile-iṣẹ	eraikuntza langilea	mjenzi	建筑工人	
Construction and extraction occupations	Derrick operator	pengendali derik	derrick operaator	operaattori	derrick operátor	derrick օպերատոր	ডেরিক অপারেটর	डेरिक अपरेटर	デリック演算子	데릭 연산자	derrick operatörü	onṣẹ-iṣẹ-iṣẹ-ṣiṣe	derrick operadorea	mfanyabiashara wa derrick	井架操作员	
Construction and extraction occupations	Drywall installer	pemasang drywall	kipsplaadi paigaldaja	kipsilevyasennusohjelma	gipszkarton telepítő	drywall տեղադրող	শুকনো ইনস্টলার	drywall स्थापना	ドライウォールインストーラ	?	alçıpan yükleyici	?	drywall installer	mtayarishaji wa drywall	石膏板安装程序	
Construction and extraction occupations	Earth driller	gerudi bumi	maapariller	maanporaaja	földfúrógép	հողագործը	পৃথিবী ড্রিলার	पृथ्वी ड्रिलर	アースドリラー	어스 쉴러	toprak delici	adiye aye	lurreko zulagailua	driller ya ardhi	地球司钻	
Construction and extraction occupations	Electrician	juruelektrik	elektrik	sähköasentaja	villanyszerelő	էլեկտրիկ	তাড়িতী	बिजुली	電気技師	전공	elektrikçi	ina mọnamọna	electrician	umeme	电工	
Construction and extraction occupations	Elevator installer	pemasang lif	lifti paigaldaja	hissiasentaja	lift szerelő	վերելակ տեղադրող	লিফট ইনস্টলার	एलेवेटर स्थापनाकर्ता	エレベーターインストーラー	엘리베이터 설치자	asansör kurulumu	olupese elevator	igogailu instalatzailea	mtengenezaji wa lifti	电梯安装人员	
Construction and extraction occupations	Elevator repairer	pembaikan lif	lifti remonditöökoda	hissin korjaamo	lift javítóműhely	վերելակ վերանորոգող	লিফ্টের মেরামতকারী	एलेवेटर मरम्मतकर्ता	エレベーター修繕士	엘리베이터 수선공	asansör tamircisi	oluwa ile elevator	igogailu konponketa	mfereji wa lifti	电梯维修	
Construction and extraction occupations	Explosives worker	pekerja bahan peledak	lõhkeainete töötaja	räjähteiden työntekijä	robbanóanyag dolgozó	պայթուցիկների աշխատող	বিস্ফোরক কর্মী	विस्फोटक कार्यकर्ता	爆薬労働者	폭발물 노동자	patlayıcı işçi	aw]	lehergailuak langilea	mabomu wa mfanyakazi	炸药工人	
Construction and extraction occupations	Extraction worker helper	pembantu pekerja pengekstrakan	kaevandamise töötaja abimees	urakoitsijan avustaja	kitermelési munkás segítője	արդյունահանող աշխատողի օգնականը	নিষ্কাশন কর্মী সাহায্যকারী	निकासी कार्यकर्ता सहायक	抽出作業ヘルパー	추출 작업 도우미	çıkarma işçisi yardımcısı	oluranlọwọ oluṣeṣe igbasilẹ	erauzketa langilea helper	msaidizi wa mfanyakazi wa uchimbaji	提取工人帮手	
Construction and extraction occupations	Fence erector	pagar pagar	aia erector	aita-erektori	kerítés állító	ցանկապատի էլեկտոր	বেড়া প্রজাপতি	बाड़ निर्माण	フェンス建設業者	울타리 건설가	çit erector	odi ere	hesia eraikitzailea	erector uzio	围栏竖立者	
Construction and extraction occupations	First-line supervisor of construction trades	penyelia utama dalam perdagangan pembinaan pertama	ehitustööde esmane järelevalveasutus	rakennusalan ensimmäisen linjan ohjaaja	az építőipar első szintű felügyelője	շինհրապարակի առաջին կարգի վերահսկիչ	নির্মাণের প্রথম লাইন সুপারভাইজার	निर्माण व्यवसायको पहिलो-लाइन पर्यवेक्षक	建設業のファーストライン監督	건설업의 1 차 감독자	inşaat esnafının birinci basamak sorumlusu	olutọju akọkọ ti awọn iṣẹ iṣowo	eraikuntzako lanbideen lehen mailako arduraduna	msimamizi wa kwanza wa biashara ya ujenzi	建筑行业一线主管	
Construction and extraction occupations	First-line supervisor of extraction workers	penyelia lini pertama pekerja pengekstrakan	kaevandustöötajate esmavaliku juhendaja	urakoitsijoiden ensimmäisen linjan valvoja	az extrakciós dolgozók első soros felügyelője	արդյունահանող աշխատողների առաջին կարգի վերահսկիչ	নিষ্কাশন শ্রমিকদের প্রথম লাইন সুপারভাইজার	निकासी कार्यकर्ताहरूको पहिलो-लाइन पर्यवेक्षक	抽出作業員の第一次監督者	추출 노동자의 첫 번째 라인 관리자	çıkarma işçilerinin birinci basamak sorumlusu	olutọju alakoso akọkọ ti awọn oṣiṣẹ isanwo	lehen mailako arduradunak erauzteko langileak	msimamizi wa kwanza wa wafanyakazi wa uchimbaji	采矿工人一线主管	
Construction and extraction occupations	Floor finisher	penamat lantai	põrandapuhastaja	lattian viimeistelijä	padlófinomító	հարկի վերջավորիչը	মেঝে ফিনিশার	फ्लोर फिनिशर	フロアフィニッシャー	바닥 마무리 장치	kat sonlandırıcı	ipilẹ	solairua finisher	finisher sakafu	地板修整器	
Construction and extraction occupations	Floor installer	pemasang lantai	põranda paigaldaja	lattian asentaja	padló telepítő	հատակին տեղադրող	মেঝে ইনস্টলার	फ्लोर स्थापना	フロアインストーラ	바닥 설치 자	kat yükleyici	oludari insitola	solairua instalatzailea	installer sakafu	地板安装人员	
Construction and extraction occupations	Glazier	glazier	glazier	lasittaja	üveges	գիրք	পরকলানির্মাতা	चमकदार	グレイアウト	유리 직공	camcı	glazier	glazier	glazier	玻璃工	
Construction and extraction occupations	Hazardous materials removal worker	pekerja penyingkiran bahan berbahaya	ohtlike materjalide eemaldamise töötaja	vaarallisten aineiden poisto työntekijä	veszélyes anyag eltávolító munkavállaló	վնասակար նյութերի հեռացման աշխատող	বিপজ্জনক পদার্থ অপসারণ কর্মী	खतरनाक सामग्री हटाउने कार्यकर्ता	有害物質除去作業員	유해 물질 제거 작업자	tehlikeli madde temizleme işçisi	ohun elo ipanilara ti nṣiṣẹ lọwọ	material arriskutsuen kentzea langilea	mfanyakazi wa madhara ya kuondolewa	有害物质清除人员	
Construction and extraction occupations	Highway maintenance worker	pekerja penyelenggaraan lebuh raya	maantee hooldustööline	valtateiden huoltotyöntekijä	autópálya karbantartási munkás	մայրուղու սպասարկման աշխատող	হাইওয়ে রক্ষণাবেক্ষণ কর্মী	राजमार्गको रखरखाव कार्यकर्ता	高速道路保守員	고속도로 정비공	otoyol bakım işçisi	olutọju alakoso ọna opopona	autopista mantentze-langilea	mfanyakazi wa matengenezo ya barabara	高速公路维修工	
Construction and extraction occupations	Insulation worker	pekerja penebat	isolatsioonitööline	eristys työntekijä	szigetelő munkavállaló	մեկուսիչ աշխատող	অন্তরণ কর্মী	इन्सुलेशन कार्यकर्ता	絶縁作業員	단열 작업자	yalıtım işçisi	olutọju idabobo	isolamendu langilea	mfanyakazi wa insulation	保温工	
Construction and extraction occupations	Mining machine operator	pengendali mesin perlombongan	mäetöömasinate käitaja	kaivosoperaattori	bányászati ​​gépkezelő	հանքարդյունահանող օպերատոր	খনির মেশিন অপারেটর	खनन मिसिन परिचालक	マイニング機械オペレータ	광산 기계 운전자	madencilik makine operatörü	oniṣẹ ẹrọ mimu	meatze-makina operadorea	operator wa madini	采矿机操作员	
Construction and extraction occupations	Mining roof bolter 	penambakan bumbung bumbung	kaevandus katuseraam	kaivos katto bolter	bányászati ​​tetőburkolat	հանքարդյունաբերական տանիքի հենակետ	খনির ছাদ বাটার	खनन छत बोल्ट	鉱業屋根ボルター	광산 지붕 보강재	madencilik çatı ayağı	ilẹ ti o ni ibiti oke	meatzaritza teilatua bolter	madini ya paa ya bolta	采矿顶棚锚	
Construction and extraction occupations	Operating engineer	jurutera operasi	töötav insener	käyttöinsinööri	operációs mérnök	գործող ինժեներ	অপারেটিং ইঞ্জিনিয়ার	परिचालन अभियंता	オペレーティングエンジニア	운영 엔지니어	işletme mühendisi	onise ẹrọ iṣẹ	eragile ingeniaria	mhandisi wa uendeshaji	运营工程师	
Construction and extraction occupations	Ordnance handling expert	pakar penanganan ordnance	laskemoona käitlemise ekspert	taisteluasiantuntija	fegyverzetkezelési szakértő	զինամթերքի բեռնաթափման փորձագետ	অর্ধনগর হ্যান্ডলিং বিশেষজ্ঞ	अत्याचार संकलन विशेषज्ञ	武器処理専門家	군수 처리 전문가	ordnance idare uzmanı	oludaniloju iwadii kika	artilezko manipulazio aditua	mtaalamu wa utunzaji wa udhibiti	军械处理专家	
Construction and extraction occupations	Painter	pelukis	maalikunstnik	taidemaalari	festő	նկարիչ	চিত্রশিল্পী	चित्रकार	画家	화가	ressam	oluyaworan	margolari	mchoraji	画家	
Construction and extraction occupations	Paperhanger	paperhanger	paperhanger	tapetoija	paperhanger	թղթախաղեր	paperhanger	paperhanger	ペーパーハンガー	종이 수납장	dolandırıcı içinen	paperhanger	paperhanger	paperhanger	paperhanger	
Construction and extraction occupations	Paving equipment operator	membuka peralatan pengendali	sillutusseadmete operaator	päällystyslaitteiden haltija	járófelszerelés-üzemeltető	սալիկների սարքավորումներ օպերատոր	প্যাটিং সরঞ্জাম অপারেটর	फलाम उपकरण परिचालक	舗装設備オペレータ	포장 작업자	kaldırım ekipmanı operatörü	oluṣakoso ẹrọ isakoṣo	zoladura ekipamendu operadorea	vifaa vya kupakia vifaa	摊铺设备操作员	
Construction and extraction occupations	Pile-driver operator	?	masinapargi operaator	?	bolyhos-hajtás üzemeltető	կույտ-վարորդի օպերատորը	পাইল-ড্রাইভার অপারেটর	?	パイルドライバーオペレーター	말뚝 박는 기사	kazık sürücüsü operatörü	oluṣakoso olupẹwo	pila-gidariaren operadorea	mtumiaji wa rundo la rundo	打桩机操作员	
Construction and extraction occupations	Pipefitters	pemfail	pipefitters	pipefitters	?	pipefitters	?	pipefitters	パイプフィッター	파이프 피팅	boru tesisatçıları	pipefitters	pipefitters	?	管道装配	
Construction and extraction occupations	Pipelayer	pipelayer	torujuht	pipelayer	pipelayer	pipelayer	pipelayer	पाइपेलर	パイプ層	?	boru hattı	pipelayer	?	pipelayer	铺管机	
Construction and extraction occupations	Plasterer	plasterer	krohvija	rappari	vakoló	?	plasterer	प्लास्टर	左官	미장이	?	?	plasterer	mpangaji	泥水匠	
Construction and extraction occupations	Plumber	tukang paip	?	putkimies	vízvezeték-szerelő	ջրմուղագործ	সীসক	?	配管	?	tesisatçı	?	algortako	plumber	水管工人	
Construction and extraction occupations	Rail-track laying operator	pengendali peletakan landasan keretapi	?	rautateiden asentajalle	vasúti pálya üzemeltető	երկաթուղային երթեւեկող օպերատոր	রেল ট্র্যাক ডিমিং অপারেটর	रेल ट्र्याक बिछाने अपरेटर	レールトラック敷設作業者	철도 트랙 설치 연산자	raylı parça serme operatörü	irin-iṣẹ alakoso-orin laying oniṣẹ	trenbidearen ibilbidea	mtumiaji wa reli ya kufuatilia	?	
Construction and extraction occupations	Rail-track maintenance equipment operator	pengendali peralatan penyelenggaraan keretapi	raudteeliinide hooldusseadmete operaator	?	vasúti pálya karbantartó berendezés üzemeltetője	երկաթուղային սպասարկման սարքավորումների օպերատոր	রেল ট্র্যাক রক্ষণাবেক্ষণ সরঞ্জাম অপারেটর	रेल-ट्र्याक रखरखाव उपकरण परिचालक	鉄道整備事業者	철도 트랙 유지 보수 장비 운영자	raylı parça bakım ekipmanları operatörü	oniṣẹ ẹrọ iṣakoso irin-ajo	?	vifaa vya matengenezo ya reli-track operator	轨道维修设备操作员	
Construction and extraction occupations	Reinforcing iron worker	mengukuhkan pekerja besi	rauastöötaja tugevdus	raudanvalmistajan vahvistaminen	megerősítő vasmunkás	ամրացնելով երկաթե աշխատողին	লোহা কর্মী reinforcing	?	?	철 작업자	demir işçisi	atilẹyin ironu irin	burdina langilea sendotzea	kuimarisha mfanyakazi wa chuma	?	
Construction and extraction occupations	Reinforcing rebar worker	mengukuhkan pekerja rebar	rebar töötaja tugevdamine	raudoitustyöntekijöiden vahvistaminen	?	ամրապնդող շինարարական աշխատող	পুনর্বহাল rebar কর্মী	प्रबलित rebar कार्यकर्ता	補強鉄筋作業員	?	inşaat demiri çalışanını güçlendirmek	aṣoju-iṣẹ aṣoju ti o ni atilẹyin	ebakuntza langilea sendotuz	kuimarisha mfanyakazi wa rebar	?	
Construction and extraction occupations	Roofer	roofer	?	katontekija	tetőfedők	տանիք	roofer	?	?	?	çatı ustası	orule	roofer	paa	?	
